fixture_id,a_home,a_away
587477,-3.6923547,-4.4363933
587478,-4.270143,-3.986409
587479,-4.071229,-4.763365
587480,-4.0939107,-3.4835896
587481,-4.3884397,-4.1469283
592141,-4.761984,-4.1554117
592142,-4.2173977,-4.58956
592143,-4.4837246,-3.9153202
592144,-3.7009997,-4.0241623
592145,-3.6689677,-4.9580364
592146,-4.471074,-4.3577733
592147,-4.4717293,-3.9709995
592148,-4.470982,-4.1639504
592149,-4.290766,-3.9383073
592150,-4.486093,-4.087492
592151,-4.068608,-4.388156
592152,-4.3873754,-4.4993415
592153,-4.4079547,-4.222675
592154,-3.649813,-4.1108027
592155,-3.658743,-4.0280623
592156,-3.6874464,-4.1970654
592157,-4.2941628,-3.932003
592158,-4.488569,-3.890848
592159,-4.0955877,-3.6133204
592160,-4.3520265,-3.9838197
592161,-4.2140846,-4.0959306
592162,-4.4822774,-4.326248
592163,-4.5160756,-3.7156267
592164,-4.485674,-3.8954704
592165,-3.6402352,-4.3759203
592166,-4.084666,-3.619366
592167,-5.0186033,-4.3606267
592168,-4.3002887,-4.5291862
592169,-3.8927279,-3.7312965
592170,-3.4448664,-4.6209517
592171,-3.9231007,-4.570432
592172,-2.8159115,-3.8646061
592173,-3.4035537,-4.8567414
592174,-3.3921483,-4.1821113
592175,-4.460745,-4.03087
592176,-4.719884,-3.7599974
592177,-4.2878623,-3.142599
592178,-3.7715507,-4.3552575
592179,-3.7593772,-5.141445
592180,-4.297753,-4.4721804
592181,-3.6070247,-4.107612
592182,-4.348845,-4.171723
592183,-3.979748,-3.9945998
592184,-4.505907,-4.3299365
592185,-4.6348977,-4.244175
592186,-4.121604,-4.8346562
592187,-4.426734,-3.529682
592188,-4.452097,-4.266909
592189,-3.5454013,-3.9791136
592190,-4.860494,-4.542673
592191,-4.6070366,-4.336915
592192,-4.4135795,-3.9099014
592193,-3.9767876,-4.719539
592194,-4.702618,-4.0237164
592195,-4.2449274,-4.3477407
592196,-3.7230186,-4.6435733
592197,-4.6118355,-4.4563527
592198,-4.0350714,-4.3656735
592199,-4.309487,-4.1428957
592200,-4.215833,-4.474896
592201,-3.9595358,-3.644966
592202,-4.827819,-3.6018264
592203,-3.7876813,-4.7295504
592204,-4.0914197,-3.5390399
592205,-3.7353935,-4.52371
592206,-4.406596,-4.4329324
592207,-4.236764,-3.9466548
592208,-4.976806,-4.01038
592209,-3.8710334,-4.345974
592210,-3.9542205,-4.7684116
592211,-4.435341,-3.7875202
592212,-4.331963,-4.901839
592213,-3.3200002,-4.8302693
592214,-3.725835,-4.1316233
592215,-4.3255124,-3.928415
592216,-4.5560117,-4.5233955
592217,-4.172936,-4.1820426
592218,-3.7652636,-4.8814244
592219,-4.8060174,-4.0054755
592220,-4.391114,-4.456997
592221,-4.233766,-3.9937165
592222,-4.3431644,-4.6918106
592223,-3.9804795,-3.8492203
592224,-4.4020176,-4.5834494
592225,-3.4847157,-4.8200064
592226,-4.052944,-4.9227753
592227,-5.1407948,-3.70258
592228,-4.6104364,-4.17462
592229,-3.9382393,-4.5314837
592230,-4.277505,-4.3402424
592231,-4.400744,-4.105308
592232,-4.410417,-4.065506
592233,-4.192486,-4.865338
592234,-4.379745,-4.4132857
592235,-4.647648,-4.14977
592236,-4.4113493,-3.990151
592237,-2.9859767,-5.2615957
592238,-4.0787616,-3.7649083
592239,-4.2583604,-4.750176
592240,-3.9942882,-4.2173514
592241,-3.8046286,-4.8886805
592242,-4.225432,-4.098828
592243,-4.440114,-4.2651963
592244,-3.7892017,-4.536707
592245,-3.5177956,-4.701539
592246,-3.5601754,-4.890188
592247,-4.2813253,-4.026779
592248,-4.014876,-4.699457
592249,-4.3092127,-3.6637063
592250,-4.502853,-3.8003223
592251,-4.324815,-4.6131945
592252,-4.272471,-4.507593
592253,-4.4496074,-4.3191543
592254,-4.4605823,-4.119294
592255,-4.1043715,-4.127447
592256,-3.668815,-4.6738515
592257,-4.775545,-4.3760724
592258,-4.0651627,-4.4261947
592259,-3.7066672,-4.6218934
592260,-4.5148826,-4.362772
592261,-4.323733,-4.342122
592262,-4.2580357,-4.9251733
592263,-4.5082135,-4.4863825
592264,-3.24273,-4.246567
592265,-4.259911,-4.13587
592266,-4.4091954,-3.6062493
592267,-4.280785,-4.246544
592268,-4.3147516,-4.088695
592269,-3.8928158,-4.713585
592270,-3.8968525,-4.800636
592271,-4.2907777,-4.3602476
592272,-4.1770844,-4.214738
592273,-3.5278232,-4.8203273
592274,-4.648149,-2.8930318
592275,-4.065691,-4.4313707
592276,-2.7706401,-4.028179
592277,-4.484049,-4.2770853
592278,-4.8838263,-4.01507
592279,-4.7972183,-4.0076666
592280,-4.6370726,-3.8206391
592281,-3.8341582,-4.2376003
592282,-3.4658244,-4.886965
592283,-4.695254,-4.4292154
592284,-3.734697,-4.887068
592285,-3.8707364,-4.0280333
592286,-3.9350486,-4.874174
592287,-3.5862403,-5.055043
592288,-4.666951,-4.22757
592289,-4.108488,-4.002177
592290,-4.241535,-4.4931626
592291,-4.4533215,-4.1925697
592292,-4.2467217,-4.8456445
592293,-4.125982,-4.3564825
592294,-4.4154143,-4.159697
592295,-4.837447,-3.594476
592296,-4.0856447,-4.690074
592297,-5.0706787,-4.218998
592298,-4.297001,-4.663841
592299,-4.227383,-4.45491
592300,-4.8861966,-3.0178382
592301,-3.8369594,-3.9339476
592302,-4.5596333,-4.2266374
592303,-4.676148,-3.6446226
592304,-4.0351534,-4.739179
592305,-4.371911,-4.5244255
592306,-3.9354048,-4.3429465
592307,-4.5288835,-3.9347732
592308,-4.7401495,-4.3956842
592309,-3.8988743,-4.2015214
592310,-4.9833393,-3.3472135
592311,-4.0974417,-5.022555
592312,-4.697909,-3.8651643
592313,-4.393258,-4.162556
592314,-3.5699005,-4.9983683
592315,-3.9853277,-4.4011965
